Industry,Equipment,Component Part,Lube Spec,Lube Requirements,Standard,Premium,Supreme
Steam Generation Plant,['Steam Generation Plant'],Electric Motor Bearings (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Steam Generation Plant,['Steam Generation Plant'],Electric Motor Bearings (Oil),ISO VG 32 or 46,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Circula,-,PETRONAS Circula Syn
Steam Generation Plant,['Steam Generation Plant'],Bearings (Grease),NLGI 2 EP,"High load capability
High temperature
Long life",-,-,PETRONAS Grease LiX Syn 1/1500
Steam Generation Plant,['Steam Generation Plant'],Bearings (Oil in circulating system),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",,,Petronas Gear Syn PAG 680
Steam Generation Plant,['Steam Generation Plant'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Steam Generation Plant,['Steam Generation Plant'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Steam Generation Plant,['Steam Generation Plant'],Worm Gearbox / Reducer,AGMA  4-7 EP,"High load capability
Low foaming tendencies
Water separability",-,-,PETRONAS Gear Syn WI
Power Generation,['Power Generation'],Bearings (Oil),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Jenteram,PETRONAS Jenteram G,PETRONAS Jenteram Syn
Power Generation,['Power Generation'],Gearbox / Reducer,AGMA 4-7 EP,"High load capability
Low foaming tendencies
Water separability",-,PETRONAS Jenteram G,-
Power Generation,['Power Generation'],Turbine Control System,ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",-,PETRONAS Jenteram G,-
Power Generation,['Power Generation'],Grease points,NLGI 2 EP,"Water tolerance
High load capability",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Voltage step up,['Voltage step up'],Reservoir (Uninhibited),IEC 60296,"Oxidation stability
Long life",PETRONAS Elektron,-,-
Voltage step up,['Voltage step up'],Reservoir (Inhibited),IEC 60296,"Oxidation stability
Long life",PETRONAS Elektron X,-,-
Water Supply - Cooling,['Water Supply - Cooling'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Water Supply - Cooling,['Water Supply - Cooling'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Water Supply - Cooling,['Water Supply - Cooling'],Grease points,NLGI 2 EP,"Water tolerance
High load capability",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Water Supply,['Water Supply'],Grease Points,NLGI 2 EP,"High load capability
Extreme water tolerance
Long life",PETRONAS Grease LiX EP,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/460
Water Supply,['Water Supply'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Water Supply,['Water Supply'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Bearings (Grease),NLGI 2 EP,"High temperature
Long life",-,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Gearbox / Reducer,AGMA 4-7 EP,"High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Grease points,NLGI 2 EP,"Water tolerance
High load capability",PETRONAS Grease Li EP 2,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Rapper Bearings (Grease),NLGI 2 EP,"High load capability
Extreme water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/220
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Electric Motor Bearings (grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Gearbox / Reducer,AGMA 4-7 EP,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAG
Flue gas path and cleaning,"['Flue gas path', 'cleaning']",Grease points,NLGI 2 EP,"Water tolerance
High load capability
High Temperature",PETRONAS Grease Li EP 2,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/220
Ash Handling,"['Ash H', 'ling']",Crusher Bearings (Grease),NLGI 2 EP,"High temperature
Long life",-,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Ash Handling,"['Ash H', 'ling']",Chains / Sprockets,"ISO VG 68 and 220
Cincinnati Machine Spec","Pumpability and sprayability
Adhesive characteristics
Extreme pressure",PETRONAS Slideway,-,-
Ash Handling,"['Ash H', 'ling']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ash Handling,"['Ash H', 'ling']",Gearbox / Reducer,AGMA  4-7EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Ash Handling,"['Ash H', 'ling']",Grease points,NLGI 2 EP,"Water tolerance
High load capability",PETRONAS Grease Li EP 2,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/220
Ash Handling,"['Ash H', 'ling']",Open Gears,"AGMA 251.01
FZG
US Steel","Pumpability and sprayability
Adhesive characteristics
Extreme pressure
Low consumption",-,PETRONAS Grease LiCa TMG,
General,['General'],Bearings  (grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease LiX 2/170,PETRONAS Grease LiX Syn 2/220
General,['General'],Gearbox / Reducer / Bearings (oil),AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,PETRONAS Gear Syn PAO
General,['General'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
General,['General'],Bearings (Oil),ISO VG  68,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
General,['General'],Bearings (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease LiX 2/170,PETRONAS Grease LiX Syn 2/220
General,['General'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
General,['General'],Air compressor,51506-VDL,"Oxidation stability
Good air release
Foam tendencies",PETRONAS Compressor A M2,PETRONAS Compressor A M4,PETRONAS Compressor A Syn PAO
General,['General'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
General,['General'],Bearings (Grease),NLGI 2 EP,"High load capability
Extreme water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
General,['General'],Bearings (Oil),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Jenteram,PETRONAS Jenteram G,PETRONAS Jenteram Syn
General,['General'],Diesel Engine Oil,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
General,['General'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
General,['General'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
General,['General'],Gas Turbine,ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Jenteram,PETRONAS Jenteram G,PETRONAS Jenteram Syn
General,['General'],Gearbox / Reducer,ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Jenteram,PETRONAS Jenteram G,PETRONAS Jenteram Syn
General,['General'],Cutting fluids,,"High emulsion stability
Excellent lubricity and anti-weld
Anti-rust, anti-corrosion
Anti-sludge
Anti-bacterial",Mecafluid SM 59 **,Mecafluid S 2006 **,-
General,['General'],Grease points,NLGI 2 EP,"Water tolerance
High load capability",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
General,['General'],Hydraulics,"ISO VG range 
HM specification","Good air release
Water separability
Low foaming tendencies",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
General,['General'],Slide way oils,"ISO VG 68 and 220
Cincinnati Machine Spec","Pumpability and sprayability
Adhesive characteristics
Extreme pressure",PETRONAS Slideway,-,-
Marine - Shipping,['2 Stroke Main propulsion engine system'],Crosshead Marine Diesel Engine (Cylinder Oil),"SAE 50
TBN 70 or 100",,PETRONAS Silub 50-100LS,,
Marine - Shipping,['2 Stroke Main propulsion engine system'],Crosshead Marine Diesel Engine (System Oil),"SAE 30
TBN 6",,PETRONAS Disrol 6 LS,,
4 Stroke Medium Speed Engines,[''],"Trunk Piston Engines
(Medium Speed)","SAE 40
TBN 15 Fuel S 1-2%
TBN 30 HFO S 2-3%
TBN 40 HFO S >3%",,"PETRONAS Disrol 15, 30, 40 50 and 55 MS Series",,
4 Stroke Medium Speed Engines,[''],"Trunk Piston Engines
(Medium Speed)","SAE 30
TBN 15 Fuel S 1-2%
TBN 30 HFO S 2-3%
TBN 40 HFO S >3%",,"PETRONAS Disrol 15, 30, 40 MS Series",,
Coastal Marine - Shipping,['High Speed Power Generation Engines'],Generator bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",-Petronas Grease Li 2,PETRONAS Grease PU,PETRONAS Grease LiX Syn 2/220
Coastal Marine - Shipping,['High Speed Power Generation Engines'],Diesel Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling","Petronas Disrol 12 HS 30/40
Petronas Disrol 10 HS 15W40",,
Ship Auxillary Equipment,"['Steering gear', 'stern tube Equipment']",Steering gear,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic Series,PETRONAS Hydraulic HV Series,PETRONAS Hydraulic ESF
Ship Auxillary Equipment,"['Steering gear', 'stern tube Equipment']",Grease points,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX EP 2/380,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/460
Ship Auxillary Equipment,"['Steering gear', 'stern tube Equipment']",Stern tube,"Emulsion @ 60min
Timken salt water test
Sea water rust test","Water separability
Rust and corrosion protection",Disrol 6 until new product available,,
Ship Auxillary Equipment,"['Fans - Axial Flow Fans', 'Deck Mounting', 'Centrifugal Fans']",Fans (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ship Auxillary Equipment,"['Fans - Axial Flow Fans', 'Deck Mounting', 'Centrifugal Fans']",Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ship Auxillary Equipment,['Transformers'],Transformers,Naphthenic Uninhibited,"BDV
No corrosive sulphur
Dry oil (10ppm max)",PETRONAS Elektron,-,-
Ship Auxillary Equipment,"['Refrigeration plants: Provision Storage', 'Air Conditioner Plants', 'Control air Dryers', 'Cargo Refrigeration Plants.']",Compressor (Ammonia),"ISO 68
Naphthenic / Ester","Foam resistance
Miscible with Ammonia
Low volatility",,,PETRONAS Compressor R Syn PAO
Ship Auxillary Equipment,"['Refrigeration plants: Provision Storage', 'Air Conditioner Plants', 'Control air Dryers', 'Cargo Refrigeration Plants.']",Compressor (HFC),"ISO 68
Polyolester
Grasso
Bitzer","Lubricity
EF / Biodegradable
Long life
Miscible with HFC 134-a
Low volatility",,,PETRONAS Compressor R Syn POE
Ship Auxillary Equipment,"['Refrigeration plants: Provision Storage', 'Air Conditioner Plants', 'Control air Dryers', 'Cargo Refrigeration Plants.']",Electric Motor Bearings (grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ship Auxillary Equipment,"['Compressed Air system – Compressors Air tools', 'pneumatic control valves']",Compressor,"DIN 51506
VDL","Oxidation stability
Reduced deposits
Long drain intervals",PETRONAS Compressor A M2,PETRONAS Compressor A M4,PETRONAS Compressor A Syn PAO
Ship Auxillary Equipment,"['Compressed Air system – Compressors Air tools', 'pneumatic control valves']",Air line Lubricators,ISO 68,"Good water seperability
Reduced deposits
Oxidation stability",Hydraulic 68,,
Ship Auxillary Equipment,"['Compressed Air system – Compressors Air tools', 'pneumatic control valves']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ship Auxillary Equipment,"['Compressed Air system – Compressors Air tools', 'pneumatic control valves']",Air dryer (HFC),"ISO 68
Polyolester
Grasso
Bitzer","Lubricity
EF / Biodegradable
Long life
Miscible with HFC 
Low volatility",-,-,PETRONAS Compressor R Syn POE
Ship Auxillary Equipment,"['Fuel', 'lubricant centrifuges']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ship Auxillary Equipment,"['Fuel', 'lubricant centrifuges']",Worm Gear Drives,AGMA 4,"Excellent lubricity
High Load capability
Water separability
Excellent oxidation stability",,,Petronas Gear Syn WI
Ship Auxillary Equipment,"['Gears - Reduction gears', 'Crane Slewing gears']",Gear Drives,AGMA  4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,"PETRONAS Gear Syn PAO

PETRONAS Gear Syn PAG"
Ship Auxillary Equipment,"['Gears - Reduction gears', 'Crane Slewing gears']",Worm Gear Drives,AGMA 4,"Excellent lubricity
High Load capability
Water separability",,,Petronas Gear Syn WI
Ship Auxillary Equipment,"['Gears - Reduction gears', 'Crane Slewing gears']",Slewing gears,"NLGI 2
(white solids)","With solid lubricants
Water tolerance
Extreme high load capability",-,-,PETRONAS Grease LiCa MG XHL
Ship Auxillary Equipment,['Cables'],Cables,Marine guidelines,"Core penetration
Adhesive characteristics
Elasticity
Rust and corrosion protection",-,PETRONAS WR EF,-
Ship Auxillary Equipment,"['Deck cranes', 'Cargo valve control systems', 'Main Engine control systems', 'Cargo hatch systems', 'Controllable pitch propellers', 'Bow thrusters', 'Hydraulics - Winch', 'Windlass drives', 'tween', 'lifting decks']",Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Ship Auxillary Equipment,"['Deck cranes', 'Cargo valve control systems', 'Main Engine control systems', 'Cargo hatch systems', 'Controllable pitch propellers', 'Bow thrusters', 'Hydraulics - Winch', 'Windlass drives', 'tween', 'lifting decks']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,
Ship Auxillary Equipment,"['Fuel transfer', 'oil', 'Ballast', 'Bilge', 'Cooling Pumps']",Bearings (Oil),ISO VG  68,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Ship Auxillary Equipment,"['Fuel transfer', 'oil', 'Ballast', 'Bilge', 'Cooling Pumps']",Bearings (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/220
Ship Auxillary Equipment,"['Fuel transfer', 'oil', 'Ballast', 'Bilge', 'Cooling Pumps']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Ship Auxillary Equipment,"['Heat Transfer Equipment – Thermo Pack', 'Tank Heating coils']",Heat Transfer equipment,"ISO 22/32
Mineral","Oxidation stability 
Flash point
Volatility",PETRONAS HTO 22 & 32),,
Ship Auxillary Equipment,['Ships Tail Shaft'],Bearings (Oil),ISO VG  68,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Circula,,PETRONAS Circula SYN PAO
Rudder Stock bearing assembly,['Rudder Stock bearing assembly'],Bearings,NLGI 2,"Water resistance
High Load
Antiwear properties",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiX Syn 2/460
Ship Auxillary Equipment,"['Fuel Fired boiler', 'economiser']",Pump Bearings (Oil),ISO VG  68,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Hydraulic,,
Ship Auxillary Equipment,"['Fuel Fired boiler', 'economiser']",Pump Bearings (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/220
Ship Auxillary Equipment,"['Fuel Fired boiler', 'economiser']",Fan Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,
Ship Auxillary Equipment,"['Fuel Fired boiler', 'economiser']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Coastal Marine Port Services,['Cargo Cranes'],Cables,Marine guidelines,"Core penetration
Adhesive characteristics
Elasticity
Rust and corrosion protection",PETRONAS Grease LiCa GEP 2.5,PETRONAS WR EF,-
Coastal Marine Port Services,['Cargo Cranes'],Gearbox,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,Petronas Gear FL,PETRONAS Gear Syn PAO
Coastal Marine Port Services,['Cargo Cranes'],Winches (Worm Gear),AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",,-,PETRONAS Gear Syn WI
Coastal Marine Port Services,['Cargo Cranes'],Winches (Open Gear),"NLGI 1
AGMA
CG 1 and 2","Low oil bleed and resist separation
Oxidation stability
Anti-wear and extreme pressure",-,PETRONAS Grease LiCa MGHL,-
Coastal Marine Port Services,['Cargo Cranes'],Winch bearings,"NLGI 2 /2.5
Calcium Sulfonate or Lithium Complex","Water resistance
Salt water corrosion protection
Extreme load
Environmentally friendly (where required)",PETRONAS Tutela WB Grease,PETRONAS Grease CaSX,
Coastal Marine Port Services,['Cargo Cranes'],Electric Motors,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Coastal Marine Port Services,['Cargo Cranes'],Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7,PETRONAS Urania 5000 E 15W40,PETRONAS Urania 7000 E 10W40 **
Coastal Marine Port Services,['Cargo Cranes'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Coastal Marine Port Services,['Cargo Cranes'],Transmission,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
Coastal Marine Port Services,['Cargo Cranes'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Coastal Marine Port Services,['Cargo Cranes'],Vertical bearing,NLGI 2 EP,"Extreme high load
Water tolerance
High and low temperature capability",-,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Coastal Marine Port Services,['Cargo Cranes'],Slewing ring,NLGI 2 EP,"Extreme high load capability
Water tolerance
Solid lubricants",-,-,PETRONAS Grease LiCa MG XHL
Coastal Marine Port Services,['Cargo Cranes'],Hydraulics,"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Marine Cargo Services,"['Conveyors', 'bucket elevators', 'screw conveyors']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Marine Cargo Services,"['Conveyors', 'bucket elevators', 'screw conveyors']",Gearbox / Reducer,AGMA  4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Marine Cargo Services,"['Conveyors', 'bucket elevators', 'screw conveyors']",Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease CaSx,PETRONAS Grease LiX Syn 2/220
Marine Cargo Services,"['Conveyors', 'bucket elevators', 'screw conveyors']",Coupling,"NLGI 1
AGMA CG 1 and 2","Low oil bleed
Oxidation stability
Resistance to centrifugal force",PETRONAS Grease Li 2,PETRONAS Grease PE HS,-
Marine Cargo Services,"['Conveyors', 'bucket elevators', 'screw conveyors']",Idler roller bearings,,,Filled for life - special low viscosity grease (contact OEM for initial fill),,
Gas Engines,"['Power Generation', 'Combined Heat Process']",Gas Engine (Natural Gas),"OEM Approval
Gas type
SAE40","Low ash
TBN retention
Long service life
Low deposits",PETRONAS  GEO  NG 40,,-
Gas Engines,"['Power Generation', 'Combined Heat Process']",Gas Engine (BioGas / Landfill Gas / Sewage Gas),"OEM Approval
Gas type
SAE40","Low ash
TBN retention
Long service life
Low deposits",PETRONAS  GEO  BLG 40,,-
Gas Engines,"['Power Generation', 'Combined Heat Process']",Gas Engine (Flue Gas),"OEM Approval
Gas type
SAE40","Low ash
TBN retention
Long service life
Low deposits",PETRONAS  GEO  BLG 40,,-
Gas Engines,"['Power Generation', 'Combined Heat Process']",Generator bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",- Petronas Grease Li 2,PETRONAS Grease PU,PETRONAS Grease LiX Syn 2/100
Gas Engines,"['Power Generation', 'Combined Heat Process']",Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11,PETRONAS Paraflu Up Ready,-
Gas Engine Industry,['Transformers'],Transformer,Naphthenic Uninhibited,"BDV
No corrosive sulphur
Dry oil (10ppm max)",PETRONAS Elektron,-,-
Gas Blower ,['Gas Blower'],Bearings (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-PETRONAS Grease LiX Syn 2/100
Gas Blower ,['Gas Blower'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Automotive Clusters,['Automotive Clusters'],"Engine 
(Petrol Monograde)","Engine oil SAE 10W, 30, 40, 50","Oxidation resistance
Good detergency
Good dispersancy
Good wear control",PETRONAS Mach 5 SF SAE 40,-,-
Automotive Clusters,['Automotive Clusters'],"Engine 
(Petrol Multigrade)","Engine Oil 0W-20, 5W-30, 0W-40, 5W-40, 15W-40, 20W-50","Oxidation resistance
Good detergency
Good dispersancy
Good wear control
Fuel efficiency",PETRONAS M-Plus,PETRONAS Syntium 5000 series,PETRONAS Syntium 7000 Series
Automotive Clusters,['Automotive Clusters'],"Engine 
(Diesel Monograde)","Engine oil SAE 10W, 30, 40, 50","Oxidation resistance
Detergency
Dispersancy
Soot handling",PETRONAS Urania CF,-,-
Automotive Clusters,['Automotive Clusters'],"Engine
(Diesel Multigrade)","Engine Oil 10W-40, 15W-40","Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7,PETRONAS Urania 5000 E 15W40,PETRONAS Urania 7000 E 10W40
Automotive Clusters,['Automotive Clusters'],Transmission (automatic),"Dexron series
OEM requirement","High viscosity index
Oxidation stability
Compatibility with friction material","PETRONAS ATF D3
PETRONAS Tutela Transmission GI/A",PETRONAS Tutela Transmission GI/E,"PETRONAS Transmission ATF 90
PETRONAS Transmission ATF 120
PETRONAS Transmission CVT
PETRONAS ATF MV3"
Automotive Clusters,['Automotive Clusters'],Transmission (manual),"75W-90, 80W-90, 80W-A, API GL-4, OEM requirement","Oxidation stability
Extreme pressure
Compatibility with yellow metal components",PETRONAS GL-4,,"PETRONAS Tutela EG 50
PETRONAS Transmission FE"
Automotive Clusters,['Automotive Clusters'],Cooling System,Coolant Fluid,"Long periods of work
High temperature
Multi metal compatibility",PETRONAS Paraflu 11,PETRONAS Paraflu Up Ready,-
Automotive Clusters,['Automotive Clusters'],Differentials,"SAE 50, SAE 90, 75W-90, 80W-140, GL-5, OEM requirement","Oxidation stability
Extreme pressure","PETRONAS GL-5
PETRONAS Tutela",-,PETRONAS Tutela Transmission Stargear AX-ED
Automotive Clusters,['Automotive Clusters'],Wheel bearing Grease,"NLGI GC-LB
ASTM D4950
Li-X 
NLGI 2 / 2.5 EP","High load capability
Long life
High temperature handling
Water washout
Oxidation resistance",PETRONAS Tutela WB Grease,-,-
Automotive Clusters,['Automotive Clusters'],CV Joint,"NLGI 2 EP
Solid Additives","With solid lubricants
Water tolerance
High load capability",PETRONAS Tutela SP,-,-
Automotive Clusters,['Automotive Clusters'],General Grease Points,"NLGI 2 EP
Lithium EP / Lithium-Calcium EP","OEM approvals
Long life
Water washout
Multipurpose
Oxidation stability",PETRONAS Tutela GP,-,-
Automotive Clusters,['Automotive Clusters'],Assembly & Thread Grease,"NLGI 1
Lithium
Solid additives","Water washout
Prevent swelling of rubber
Wear protection",PETRONAS Grease Li AS,-,
Automotive Clusters,['Automotive Clusters'],Emission fluid,ISO 22241,OEM acceptance,Air 1 AdBlue,-,-
Automotive Clusters,['Automotive Clusters'],"Engine 
(Diesel Monograde)","Engine oil SAE 10W, 30, 40, 50","Oxidation resistance
Detergency
Dispersancy
Soot handling",PETRONAS Urania CF,-,-
Automotive Clusters,['Automotive Clusters'],"Engine 
(Diesel Multigrade)",Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7,PETRONAS Urania 5000 10W40,PETRONAS Urania 5000 E 10W40
Automotive Clusters,['Automotive Clusters'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11,PETRONAS Paraflu Up Ready,-
Automotive Clusters,['Automotive Clusters'],Transmission,"75W-90, 80W-90, 80W-A, API GL-4, OEM requirement","Long drain intervals
High temperature handling
High load capability",PETRONAS Tutela Transmission Series,"PETRONAS Tutela Transmission Series
-",PETRONAS Tutela Transmission Series
Automotive Clusters,['Automotive Clusters'],Hydraulics / Steering,ATF type fluids,"Long drain intervals
High temperature handling
High load capability",PETRONAS Tutela Transmission ATF Series,-,-
